label,pred,error_type,text_clean,domain
real,fake,real_as_fake,بیونس آئرس (اُردو پوائنٹ اخبارتازہ ترین 01 دسمبر2018ء) امریکا کینیڈا اور میکسیکو کے رہنماؤں نے ایک نئے تجارتی سمجھوتے پر دستخط کر دئیے غیرملکی خبررساں ادارے کے مطابق یہ تجارتی ڈیل سابقہ معاہدے نافٹا کی جگہ طے پائی ہے اس نئے تجارتی سمجھوتے کو امریکی صدر ڈونلڈ ٹرمپ کی کامیابی قرار دیا گیا ہے انہوں نے نئی ڈیل کے حوالے سے کہا کہ یہ امریکی ورکرز کے لیے بہتر مواقع پیدا کرے گی ارجنٹائن کے دارالحکومت بیونس آئرس میں اس تجارتی معاہدے پر دستخط کرنے کی تقریب کے موقع پر ڈونلڈ ٹرمپ نے کہا کہ یہ ایک مثالی سمجھوتا ہے یہ تقریب جی ٹوئنٹی سمٹ کے حاشیے میں منعقد کی گئی تھی,bus
real,fake,real_as_fake,دادو (ویب ڈیسک ) سوات میں سخت ٹھنڈ اور شدید برفباری کے موسم میں پولیو ورکر نے اپنے فرائض کی انجام دہی میں بھی کسی چیز کو رکاوٹ نہیں بننے دیا جس پر وزیراعظم عمران خان نے ان سے ملاقات کی اور حوصلے کو سراہا تاہم اب ایک اور ایسی تصویر سامنے آ گئی ہے جو کہ سوشل میڈیا پر تیزی کے ساتھ وائرل ہو رہی ہے تفصیلات کے مطابق یہ تصویر سندھ کے علاقے دادو کی ہے جہاں خواتین پولیو ورکرز ملک میں سے اس ملحق بیماری کے خاتمے کیلئے خوب محنت کررہی ہیں اور بچوں کے مستقبل کو روشن بنانے کیلئے سرگرم ہیں تفصیلات کے مطابق سندھ میں پانی کے ایک تالاب کو عبور کرتے ہوئے خواتین پولیو ورکرز آ رہی ہیں,hlth
real,fake,real_as_fake,بیونس آئرس 22 جون (سیاست ڈاٹ کام) ارجنٹینا کے اسٹار فٹبالر اور کپتان لیونل میسی ایک اور مشکل میں پھنس گئے اور پاناما لیکس کی نئی دستاویزات میں وہ آف شور کمپنی کے مالک نکلے ہیں دو سال قبل جاری کیے گئے پاناما پیپرز نے دنیا بھر میں ہنگامہ برپا کردیا تھا جس میں متعدد معروف افراد کی آف شورکمپنیوں کا انکشاف کیا گیا تھا اب دوبارہ نئی تفصیلات جاری کی گئی ہیں جس میں میسی کی آف شور کمپنی کا انکشاف ہوا ہے میسی اور ان کے والد کے خلاف پہلے ہی اسپین میں ٹیکس چوری کا مقدمہ چل رہا ہے میسی پر الزام ہے کہ ان کی یوراگوئے اور بیلز میں آف شور کمپنیاں ہیں اور اب انکشاف ہوا ہے کہ پاناما میں ان کی میگا اسٹار انٹرپرائز کے نام سے ایک اور آف شور کمپنی ہے,sp
real,fake,real_as_fake,شہرت کے حصول کیلئے کبھی فحاشی اور عریانی کا سہارا نہیں لیا،پنکی شہرت کے حصول کیلئے کبھی فحاشی اور عریانی کا سہارا نہیں لیا،پنکی لاہور(فلم رپورٹر) اداکارہ و پرفارمرپنکی نے کہا ہے کہ کبھی بھی فحاشی اور عریانی کا سہارا نہیں لیا اپنے منفرد کام کی وجہ سے نام رکھتی ہوں شوبز انڈسٹری میں فنکاروں کو بہت سی مشکلات ہوتی ہیں لیکن وہ لوگوں کی خوشی کیلئے اپنے غم بھی برداشت کرتے ہیں۔ بعض اداکارائیں آگے بڑھنے کیلئے فحاشی اور عریانی کا سہارا لیتی ہیں جن کی وجہ سے ان کو آئے روز وارننگ اور پابندی کے نوٹس ملتے ہیں لیکن میں نے کبھی بھی ایسا کچھ نہیں کیا۔آشا چوہدری نے کہا کہ سٹیج ڈرامے میں پرفارم کرنا آسان نہیں ہے انتہائی محنت اور لگن سے فنکار کا نام بنتا ہے۔ مزید : کلچر,sbz
fake,real,fake_as_real,اسلام آباد (اُردو پوائنٹ اخبارتازہ ترین 05 دسمبر2018ء) بینک اسلامی پاکستان لیمیٹد اورانڈس موٹرز کمپنی لمیٹڈ نے مفاہمت کی ایک دستاویز پردستخط کردئے ہیں جس کے تحت بنک اپنے صارفین کو ملک بھر میں 10 سال کے لیے قستوں پر بڑی گاڑیوں ٹویوٹا فارچونر ریو کیمرے اور رش کی سہولیات فراہم کرے گا بدھ کو جاری بیان کے مطابق معاہدے کے تحت بینک اسلامی آٹوفنانس کے تحت 10 سال کے لیے آسان اقساط پر بڑی گاڑیوں کی خریدنے کی خدمات فراہم کرے گا معاہدے پر بینک اسلامی کے کنزیومربنکنگ کے سربراہ بلال فیض اور انڈس موٹرز کمپنی کے جنرل میجرسیلزسید عمر نے دستخط کئے بلال فیض نے کہا کہ اس سے صارفین کو سود دیے بغیر فائدہ پہنچے گا سید عمر نے اس موقع پر کہا کہ وہ صارفین کی مدد کرکے بہت خوشی محسوس کر رہے ہیں,bus
fake,real,fake_as_real,بیجنگ (آئی این پی شِنہوا) چین میں انٹرنیٹ مصنوعات کی عالمی نمائش 2018 کا افتتاح چین کے صوبہ جیانگ سو کے شہر ووشی میں ہوا جس میں پاکستان سمیت کئی دوسرے ممالک کی کئی کمنیوں نے بھی شرکت کی چین کی وزارت صنعت اور انفارمیشن ٹیکنالوجی وزارت سائنس و ٹیکنالوجی اور صوبہ جیانگ سو کی عوامی حکومت نے مشترکہ طور پر موجودہ نمائش کا اہتمام کیا نئی ڈیجیٹل معیشت اور انٹرنیٹ کا نیا عہد کو نمائش کا موضوع رکھا گیا نمائش کے دوران چینی اشیا کی انٹرنیٹ ترقی کی سالانہ رپورٹ کا اجراء بھی کیا گیا رپورٹ کے مطابق 2017 سے لے کر چینی اشیا کی انٹرنیٹ مارکیٹ میں اضافہ ہوا ہے سالانہ اضافہ کی شرح میں 25 فیصد کے اضافہ ساتھ مارکیٹ کی مالیت 11 کھرب چینی یوان سے بڑھ کرگئی ہے صوبہ جیانگ سو کی عوامی حکومت نے شرکت کرنے والی کمنیوں کا شکریہ ادا کیا,bus
real,fake,real_as_fake,cnnurdu نے Sunday، 8 July 2018 کو شائع کیا. ممبئی: با لی ووڈ ادا کا رہ ما دھو ری ڈکشٹ نے کہا ہے کہ بعض اوقا ت ان کے دو نوں بیٹے انہیں نظر انداز کر دیتے ہیں۔بھا رتی میڈیا کے مطا بق یہ با ت ادا کا رہ نے ایک ڈا نس ریئلیٹی شومقابلہ میں اس وقت کہی جب مقا بلہ میں شریک ایک امیدوار نے اپنی ڈانس پر فارمنسکو آنکھوں میں آنسوؤ ں کیسا تھ اپنی ما ں کیلئے وقف کرتے ہوئے کہا کہ اسے پچھتاوا ہے کہ اس نے اپنی ما ں کو نظر اندازکیا اور تو جہ نہیں دی، جس پر ما دھو ری ڈکشت نے کہاکہ’’بعض اوقا ت میر ے بیٹے بھی مجھے نظر انداز کر دیتے ہیں جب میں انہیں بلا تی ہوں،جس پر مجھے شرمندگی محسوس ہو تی ہے۔انہوں نے کہا کہ دراصل اس دنیا میں ہر ماں اپنے بچوں کو محفوظ رکھنا چاہتی ہے۔جب میں چھوٹی تھی تو میں نے بھی یہی کیا لیکن اب میں ایک ما ں ہوں اور سمجھ سکتی ہوں کہ یہ کیسا محسو س ہو تا ہے۔,sbz
real,fake,real_as_fake,بیجنگ (ویب ڈیسک) سمارٹ فون بنانے والی معروف چینی کمپنی 'ہواوے' نے امریکی کمپنی ایپل کے اسمارٹ فون 'آئی فون' کا استعمال کرتے ہوئے کمپنی کے آفیشل ٹوئٹر اکاؤنٹ سے سالِ نو کی مبارکباد کا پیغام پوسٹ کرنے پر اپنے دو ملازمین کی بطور سزا تنزلی کردی۔ میش ایبل کی ایک رپورٹ کے مطابق ہواوے کی جانب سے جاری کیے گئے ایک محکمہ جاتی اعلامیے میں کمپنی کے کارپوریٹ سینئر نائب صدر کا کہنا تھا کہ 'اس واقعے سے ہواوے برانڈ کو نقصان پہنچا۔'واقعے کے بعد ہواوے نے اپنے دو ملازمین کی ایک درجہ تنزلی کرتے ہوئے ان کی تنخواہ میں سے 5 ہزار یوان (تقریباً 728 ڈالرز) کی کٹوتی بھی کر ڈالی۔اعلامیے کے مطابق آئی فون کے ذریعے ٹوئیٹ کا واقعہ اُس وقت پیش آیا، جب ہواوے کی آؤٹ سورس سوشل میڈیا ایجنسی 'سیپیئنٹ کے ' (Sapient) ورچوئل پرائیویٹ نیٹ ورک (وی پی این) کے ڈیسک ٹاپ کمپیوٹر میں خرابی پیدا ہوئی,tch
real,fake,real_as_fake,نئی دہلی 1 جون (ایجنسی) گرمی ہو یا سردیاں پانی پینے کے فائدے کے بارے میں تو آپ نے خوب سنا ہگا گھر خاندان میں بڑوں سے آپ نے یہی سنا ہوگا کہ پانی زیادہ سے زیادہ استعمال جسم کو فائدہ دیتے ہیں اس لیے خوب پانی پیئں گرمیوں کے موسم میں پانی کی ضروررت بڑھ جاتی ہے لیکن آپ کو یہ بات پتہ ہونی چاہے کہ ضرورت سے زیادہ پانی سے بھی آپ کو پریشانی ہوسکتی ہے جی ہاں حال ہی میں ایک ریسرچ کے نتائج میں یہ بات سامنے آئی ہے تحقیق سے پتہ چلتا ہے کہ زیادہ پانی پینے سے آپ کے دماغ میں سوجن آسکتی ہے تحقیق سے واضح ہے کہ جسم میں پانی کی مقدار زیادہ ہونے پر سوڈیم کا لیول تیزی سے کم ہونے لگتا ہے اس سے دماغ میں سوجن آسکتی ہے سوجن بڑھنے سے ہایپوٹرمیا کا خطرہ بڑھ جاتا ہے یہ ایک خطرناک صورتحال ہے صحت مند جسم میں متوازن مقدار میں پانی رہنا ضروری ہے ایک دن میں قریب 8 گلاس (4 سے 5 لیٹر) پانی پینا چاہئے,hlth
fake,real,fake_as_real,لاہور(کامرس رپورٹر) لاہور چیمبر کے صدر الماس حیدر نے حکومت پر زور دیتے ہوئے کہا ہے کہ وہ کاروباری برادری کے لئے جدید ٹیکنالوجی اور ون ونڈو آپریشن سسٹم کے ذریعے پراپرٹی کی رجسٹریشن کے عمل میں آسانی پیدا کرنے کے حکومتی اقدام کو بہت سراہتے ہیں اور وہ حکومت پاکستان کے مشکور ہیں لاہور چیمبر کے صدر نے کہا کہ کاروباری برادری کے لئے پراپرٹی کی رجسٹریشن ایک بڑا مسئلہ تھا جیسے حکومت نے حل کر دیا ہے انھو ں نے کہا کہ انفراسٹرکچر کی مضبوطی زمینی حدود معلوم کرنے کے لئے الیکٹرونک ڈیٹا بیس معلومات میں شفافیت جغرافیائی کوریج زمینی تنازعات کا حل اور پراپرٹی رائٹس کے حصول تک سب کی یکساں رسائی جیسے مسائل کرنے سے کاروبار میں بہت اضافے کا امکان ہے لاہور چیمبر کے سینئر نائب صدر خواجہ شہزاد ناصر نے کہا ہے کہ پراپرٹی کی رجسٹریشن کے عمل میں حکومتی ٹھوس اور فوری اقدامات پر انتہائی شکر گزار ہیں,bus
